batch,day,idturk,participantid,treatment,initialendowment,pointssaving1,pointssaving2,pointssaving3,pointssaving4,pointsdebt1,pointsdebt2,borrowdebt1,borrowdebt2,pointsthisdecision,pointsnextdecision,additionalpointssaving1,additionalpointssaving2,additionalpointssaving3,additionalpointssaving4,additionalpointsdebt1,additionalpointsdebt2,points_ia_a1,points_ia_a2,points_ia_a3,points_ia_a4,points_aa_a1,points_aa_a2,points_aa_a3,points_aa_a4,balance_ia_a1,balance_ia_a2,balance_ia_a3,balance_ia_a4,balance_aa_a1,balance_aa_a2,balance_aa_a3,balance_aa_a4,orderlottery,lottery1choice,lottery2choice,lottery3choice,lottery4choice,time1choice,time2choice,oneshotcontrol_s1,oneshotcontrol_s2,oneshotcontrol_s3,oneshotcontrol_s4,oneshotdebt_s1,oneshotdebt_s2,oneshotdebt_d1,oneshotdebt_d2,oneshothigh_s1,oneshothigh_s2,oneshothigh_d1,oneshothigh_d2,end_reasoning,end_debtimportance,end_balancesimportance,end_rateimportance,end_hindsight,demo_age,demo_sex,demo_state,demo_race,demo_educ,demo_collegeplus,demo_studentloan,demo_holddebt,demo_covid,errorbdm1,errorbdm2,errorbdm3,errordebtintro1,errordebtintro2,errordebtintro3,errordebtintro4,errordebtintro5,errordebtendowment1,errordebtendowment2,errordebtendowment3,errordebtendowment4,errordebtendowment5,errordebtendowment6,errordebtendowment7,errordebtendowment8,errordebtpayment1,errordebtpayment2,errordebtpayment3,errorend1,errorend2,error_count,error_initial,error_main,error_end,error_main_total,error_count_total,debt1bal,debt2bal,debt1percpaid,debt2percpaid,controlsaving1balanceupdated,controlsaving2balanceupdated,controlsaving3balanceupdated,controlsaving4balanceupdated,debtsaving1balanceupdated,debtsaving2balanceupdated,debtdebt1balanceupdated,debtdebt2balanceupdated,controlsaving1balanceupdated2,controlsaving2balanceupdated2,controlsaving3balanceupdated2,controlsaving4balanceupdated2,debtsaving1balanceupdated2,debtsaving2balanceupdated2,debtdebt1balanceupdated2,debtdebt2balanceupdated2,lotterychoice,timechoice,durationinseconds,controltreatment,debttreatment,hightreatment,q1697,order_oneshotcontrol,order_oneshotdebt,order_oneshothighdebt,io,perco_orig,perco_adtl,perco_os_c,perco_os_d,perco_os_h,ind_optimal_ia,ind_optimal_ap,ind_optimal_ia_all,ind_optimal_ap_all,share_pointssaving1,share_pointssaving2,share_pointssaving3,share_pointssaving4,share_pointsdebt1,share_pointsdebt2,nz_pointssaving1,nz_pointssaving2,nz_pointssaving3,nz_pointssaving4,nz_pointsdebt1,nz_pointsdebt2,type_num_acnt,debt1paidoff,debt2paidoff,perc_points_ia_a1,perc_points_ia_a2,perc_points_ia_a3,perc_points_ia_a4,prev_balance_ia_a1,prev_balance_ia_a2,prev_balance_ia_a3,prev_balance_ia_a4,balance_max,balance_min
3,Initial,A122LRCSBAD6DC,losangeles56827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,"Unless I am missing something, I thought the right allocation decision was pretty obvious, which was simply to allocate all my points to the savings account with the highest interest rate. This is what I did with each allocation decision, which is simply allocate all my points to the savings account that had an interest rate of 20%, since its interest rate was higher than all the other savings accounts.",Not at all important,Not at all important,Extremely important,"I wouldn't have changed my decisions in regards to the allocation of points to the savings accounts; however, I probably would have changed my decisions in the next set of decisions, which involved picking between option A and option B.",28,Male,Florida,White,College graduate with Bachelor's Degree (4 year),College or more,Yes,Yes,A little,0,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,0.6,0.99,389,,,,,,,,,,,,,,0,0,1,1,,,,,,,1,1,1,1,1,1,,1,1,,,,,,,,,,
3,Day 1,A122LRCSBAD6DC,losangeles56827,No Debt,500,500,0,0,0,0,0,0,0,100,500,100,0,0,0,0,0,500,0,0,0,100,0,0,0,1600,700,900,1500,1700,700,900,1500,1,350,0.55,,,499,0.99,,,,,,,,,,,,,"Unless I am missing something, I thought the right allocation decision was pretty obvious, which was simply to allocate all my points to the savings account with the highest interest rate. This is what I did with each allocation decision, which is simply allocate all my points to the savings account that had an interest rate of 20%, since its interest rate was higher than all the other savings accounts.",Not at all important,Not at all important,Extremely important,"I wouldn't have changed my decisions in regards to the allocation of points to the savings accounts; however, I probably would have changed my decisions in the next set of decisions, which involved picking between option A and option B.",28,Male,Florida,White,College graduate with Bachelor's Degree (4 year),College or more,Yes,Yes,A little,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,1,0,1,0,1,1,,,,,1600,700,900,1500,,,,,1700,700,900,1500,,,,,,,985,1,0,0,"No, everything was well understood.",,,,500,1,1,,,,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1100,700,900,1500,1500,700
3,Day 2,A122LRCSBAD6DC,losangeles56827,No Debt,1120,1120,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,1120,0,0,0,100,0,0,0,2820,700,900,1500,2920,700,900,1500,2,300,0.55,,,499,0.99,,,,,,,,,,,,,"Unless I am missing something, I thought the right allocation decision was pretty obvious, which was simply to allocate all my points to the savings account with the highest interest rate. This is what I did with each allocation decision, which is simply allocate all my points to the savings account that had an interest rate of 20%, since its interest rate was higher than all the other savings accounts.",Not at all important,Not at all important,Extremely important,"I wouldn't have changed my decisions in regards to the allocation of points to the savings accounts; however, I probably would have changed my decisions in the next set of decisions, which involved picking between option A and option B.",28,Male,Florida,White,College graduate with Bachelor's Degree (4 year),College or more,Yes,Yes,A little,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1,1,,,,,2820,700,900,1500,,,,,2920,700,900,1500,,,,,,,796,1,0,0,,,,,1120,1,1,,,,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1600,700,900,1500,1600,700
3,Day 3,A122LRCSBAD6DC,losangeles56827,No Debt,864,864,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,864,0,0,0,100,0,0,0,3784,700,900,1500,3884,700,900,1500,2,300,0.55,,,499,0.99,,,,,,,,,,,,,"Unless I am missing something, I thought the right allocation decision was pretty obvious, which was simply to allocate all my points to the savings account with the highest interest rate. This is what I did with each allocation decision, which is simply allocate all my points to the savings account that had an interest rate of 20%, since its interest rate was higher than all the other savings accounts.",Not at all important,Not at all important,Extremely important,"I wouldn't have changed my decisions in regards to the allocation of points to the savings accounts; however, I probably would have changed my decisions in the next set of decisions, which involved picking between option A and option B.",28,Male,Florida,White,College graduate with Bachelor's Degree (4 year),College or more,Yes,Yes,A little,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1,1,,,,,3784,700,900,1500,,,,,3884,700,900,1500,,,,,,,670,1,0,0,,,,,864,1,1,,,,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,2820,700,900,1500,2820,700
3,Day 4,A122LRCSBAD6DC,losangeles56827,No Debt,1057,1057,0,0,0,0,0,0,0,495,,495,0,0,0,0,0,1057,0,0,0,495,0,0,0,4941,700,900,1500,5436,700,900,1500,2,300,,,,,,1000,0,0,0,1000,0,0,0,1000,0,0,0,"Unless I am missing something, I thought the right allocation decision was pretty obvious, which was simply to allocate all my points to the savings account with the highest interest rate. This is what I did with each allocation decision, which is simply allocate all my points to the savings account that had an interest rate of 20%, since its interest rate was higher than all the other savings accounts.",Not at all important,Not at all important,Extremely important,"I wouldn't have changed my decisions in regards to the allocation of points to the savings accounts; however, I probably would have changed my decisions in the next set of decisions, which involved picking between option A and option B.",28,Male,Florida,White,College graduate with Bachelor's Degree (4 year),College or more,Yes,Yes,A little,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,4941,700,900,1500,,,,,5436,700,900,1500,,,,,,,940,1,0,0,,3,2,1,1057,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,3784,700,900,1500,3784,700
2,Initial,A12A5GVJX5RZC4,santabarbara56722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,I didn't want to have any debt but I wanted to use my 20 percent allocation so I could earn the most from that account,Extremely important,Very important,Extremely important,I think I would still pay off all debt first and then put all the rest of my point into the  20 percent allocation ,39,Male,New Hampshire,White,Some college,Non college graduate,Yes,Yes,A moderate amount,0,1,1,,,,,,,,,,,,,,,,,,,2,2,0,0,0,5,,,,,,,,,,,,,,,,,,,,,0.8,0.75,526,,,,,,,,,,,,,,0,0,0,0,,,,,,,1,1,1,1,1,1,,1,1,,,,,,,,,,
2,Day 1,A12A5GVJX5RZC4,santabarbara56722,Low Debt,500,0,0,0,0,500,0,0,0,600,0,0,0,0,0,600,0,0,0,500,0,0,0,600,0,1100,700,-400,-1500,1100,700,200,-1500,1,400,0.7,,,500,0.5,,,,,,,,,,,,,I didn't want to have any debt but I wanted to use my 20 percent allocation so I could earn the most from that account,Extremely important,Very important,Extremely important,I think I would still pay off all debt first and then put all the rest of my point into the  20 percent allocation ,39,Male,New Hampshire,White,Some college,Non college graduate,Yes,Yes,A moderate amount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,5,200,-1500,1.2222222,0,,,,,1100,700,-400,-1500,,,,,1100,700,200,-1500,,,1092,0,1,0,no,,,,500,0,0,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1100,700,-900,-1500,1100,-1500
2,Day 2,A12A5GVJX5RZC4,santabarbara56722,Low Debt,665,65,0,0,0,100,500,0,0,100,0,100,0,0,0,0,0,65,0,100,500,100,0,0,0,1165,700,300,-1000,1265,700,300,-1000,1,200,0.5,,,300,0.5,,,,,,,,,,,,,I didn't want to have any debt but I wanted to use my 20 percent allocation so I could earn the most from that account,Extremely important,Very important,Extremely important,I think I would still pay off all debt first and then put all the rest of my point into the  20 percent allocation ,39,Male,New Hampshire,White,Some college,Non college graduate,Yes,Yes,A moderate amount,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,0,0,5,300,-1000,1.3333334,0.33333334,,,,,1165,700,300,-1000,,,,,1265,700,300,-1000,,,837,0,1,0,,,,,665,0.097744361,1,,,,0,1,0,0,0.097744361,0,0,0,0.15037593,0.75187969,1,0,0,0,1,1,3,1,0,0.097744361,0,0.15037593,0.75187969,1100,700,-400,-1500,1100,-1500
2,Day 3,A12A5GVJX5RZC4,santabarbara56722,Low Debt,738,238,0,0,0,0,500,0,0,547,0,47,0,0,0,0,500,238,0,0,500,47,0,0,500,1503,700,300,-500,1550,700,300,0,2,400,0.35,,,200,0.35,,,,,,,,,,,,,I didn't want to have any debt but I wanted to use my 20 percent allocation so I could earn the most from that account,Extremely important,Very important,Extremely important,I think I would still pay off all debt first and then put all the rest of my point into the  20 percent allocation ,39,Male,New Hampshire,White,Some college,Non college graduate,Yes,Yes,A moderate amount,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,0,0,5,300,0,1.3333334,1,,,,,1503,700,300,-500,,,,,1550,700,300,0,,,763,0,1,0,,,,,738,0.32249323,0.085923217,,,,0,0,0,0,0.32249323,0,0,0,0,0.6775068,1,0,0,0,0,1,2,1,1,0.32249323,0,0,0.6775068,1165,700,300,-1000,1165,-1000
2,Day 4,A12A5GVJX5RZC4,santabarbara56722,Low Debt,845,845,0,0,0,0,0,0,0,528,,528,0,0,0,0,0,845,0,0,0,528,0,0,0,2395,700,300,0,2923,700,300,0,1,400,,,,,,1000,0,0,0,400,0,600,0,0,0,1000,0,I didn't want to have any debt but I wanted to use my 20 percent allocation so I could earn the most from that account,Extremely important,Very important,Extremely important,I think I would still pay off all debt first and then put all the rest of my point into the  20 percent allocation ,39,Male,New Hampshire,White,Some college,Non college graduate,Yes,Yes,A moderate amount,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5,300,0,1.3333334,1,,,,,2395,700,300,0,,,,,2923,700,300,0,,,878,0,1,0,,1,3,2,845,1,1,1,0.40000001,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1503,700,300,-500,1503,-500
2,Initial,A12ABRH7TAD6ZJ,charlotte70606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,"Debt keeps on increasing our principal amount. So, first I focused on that.",Extremely important,Extremely important,Moderately important,I would say one should always go for lowering the debts.,48,Male,Texas,White,College graduate with Bachelor's Degree (4 year),College or more,No,No,A moderate amount,0,1,0,,,,,,,,,,,,,,,,,,,1,1,0,0,5,6,,,,,,,,,,,,,,,,,,,,,0.5,0.5,1271,,,,,,,,,,,,,,0,0,0,0,,,,,,,1,1,1,1,1,1,,1,1,,,,,,,,,,
2,Day 1,A12ABRH7TAD6ZJ,charlotte70606,High Debt,500,300,0,0,0,100,100,0,0,100,0,100,0,0,0,0,0,300,0,100,100,100,0,0,0,1400,700,-2800,-3400,1500,700,-2800,-3400,2,250,0.5,,,250,0.5,,,,,,,,,,,,,"Debt keeps on increasing our principal amount. So, first I focused on that.",Extremely important,Extremely important,Moderately important,I would say one should always go for lowering the debts.,48,Male,Texas,White,College graduate with Bachelor's Degree (4 year),College or more,No,No,A moderate amount,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,,,3,0,3,0,5,6,-2800,-3400,0.034482758,0.028571429,,,,,1400,700,-2800,-3400,,,,,1500,700,-2800,-3400,,,2928,0,0,1,no,,,,500,0.60000002,1,,,,0,1,0,0,0.60000002,0,0,0,0.2,0.2,1,0,0,0,1,1,3,0,0,0.60000002,0,0.2,0.2,1100,700,-2900,-3500,1100,-3500
2,Day 2,A12ABRH7TAD6ZJ,charlotte70606,High Debt,600,0,0,0,0,600,0,0,0,100,0,0,0,0,0,100,0,0,0,600,0,0,0,100,0,1500,700,-2200,-3400,1500,700,-2100,-3400,1,250,0.5,,,250,0.5,,,,,,,,,,,,,"Debt keeps on increasing our principal amount. So, first I focused on that.",Extremely important,Extremely important,Moderately important,I would say one should always go for lowering the debts.,48,Male,Texas,White,College graduate with Bachelor's Degree (4 year),College or more,No,No,A moderate amount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,5,6,-2100,-3400,0.27586207,0.028571429,,,,,1500,700,-2200,-3400,,,,,1500,700,-2100,-3400,,,2309,0,0,1,,,,,600,0,0,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1400,700,-2800,-3400,1400,-3400
2,Day 3,A12ABRH7TAD6ZJ,charlotte70606,High Debt,705,0,0,0,0,705,0,0,0,415,0,0,0,0,0,415,0,0,0,705,0,0,0,415,0,1500,700,-1395,-3400,1500,700,-980,-3400,1,250,0.5,,,250,0.5,,,,,,,,,,,,,"Debt keeps on increasing our principal amount. So, first I focused on that.",Extremely important,Extremely important,Moderately important,I would say one should always go for lowering the debts.,48,Male,Texas,White,College graduate with Bachelor's Degree (4 year),College or more,No,No,A moderate amount,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,,2,0,2,0,5,6,-980,-3400,0.66206896,0.028571429,,,,,1500,700,-1395,-3400,,,,,1500,700,-980,-3400,,,968,0,0,1,,,,,705,0,0,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1500,700,-2200,-3400,1500,-3400
2,Day 4,A12ABRH7TAD6ZJ,charlotte70606,High Debt,873,0,0,0,0,873,0,0,0,430,,0,0,0,0,0,430,0,0,873,0,0,0,0,430,1500,700,-107,-3400,1500,700,-107,-2970,2,250,,,,,,1000,0,0,0,0,0,600,400,0,0,1000,0,"Debt keeps on increasing our principal amount. So, first I focused on that.",Extremely important,Extremely important,Moderately important,I would say one should always go for lowering the debts.,48,Male,Texas,White,College graduate with Bachelor's Degree (4 year),College or more,No,No,A moderate amount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,-107,-2970,0.96310347,0.15142857,,,,,1500,700,-107,-3400,,,,,1500,700,-107,-2970,,,1332,0,0,1,,2,1,3,873,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1500,700,-1395,-3400,1500,-3400
